timing,collisions,ticks,id
131.89578413963318,0,1858,145
258.8076162338257,0,3516,149
200.0746145248413,0,2698,151
283.7097125053406,4217,4603,155
244.82473731040955,348,3329,157
270.29648327827454,0,4007,159
238.28135704994202,352,3299,163
281.8568375110626,0,4948,165
237.09814310073853,4,3362,169
275.018648147583,0,4849,171
271.56721687316895,0,4877,175
235.33439707756042,3466,3462,177
230.50597715377808,3466,3425,179
249.36401295661926,0,4069,181
227.49779653549194,0,3490,185
